Datestamp (sampled at 10:30 pm PST every day),Fund amount (CAD),Percent funded,Backer count
2021-08-10,6487,22,82
2021-08-11,7456,25,101
2021-08-12,7500,26,103
2021-08-13,8780,30,113
2021-08-14,9103,31,121
2021-08-15,9719,33,131
2021-08-16,10110,34,143
2021-08-17,10747,37,151
2021-08-18,11437,39,164
2021-08-19,11724,39,167
2021-08-20,14535,49,178
2021-08-21,14956,50,182
2021-08-22,15204,51,187
2021-08-23,15038,51,189
2021-08-24,15035,51,193
2021-08-25,15366,53,200
2021-08-26,15508,53,201
2021-08-27,16310,55,206
2021-08-28,16118,55,207
2021-08-29,16953,58,212
2021-08-30,16948,58,213
2021-08-31,17057,58,216
2021-09-01,20210,70,222
2021-09-02,21051,72,230
2021-09-03,24637,85,243
2021-09-04,25009,86,250
2021-09-05,26614,92,263
2021-09-06,27030,93,272
2021-09-07,30024,103,307
2021-09-08,30839,105,325